State,Facility Name,Facility ID (ORISPL),Unit ID,Caveat
"NJ","Howard M Down","2434",,"Facility name change from Howard M on 01/22/2004",
"CT","New Haven Harbor","6156",,"Facility name change from Wisvest - New Haven Harbor on 01/07/2003",
"UT","Hunter","6165",,"Facility name change from Hunter (Emery) on 06/07/2006",
"MN","Taconite Harbor Energy Center","10075",,"Facility name change from Rainy River Energy Corporation on 07/15/2002",
"NV","Chuck Lenzie Generating Station","55322",,"Facility name change from Moapa Energy Facility on 02/11/2002",
"NV","Chuck Lenzie Generating Station","55322",,"Facility name change from Moapa Energy Facility on 11/29/2004",
"NV","Walter M. Higgins III Generating Station","55687",,"Facility name change from Bighorn Electric Generating Station on 01/08/2004",
"IL","Tate & Lyle","10867",,"Facility name change from A E Staley Manufacturing Company on 10/28/2005",
"AZ","Arlington Valley Energy Facility","55282",,"Facility name change from Duke Energy Arlington Valley on 06/05/2006",
"KY","John S. Cooper","1384",,"Facility name change from Cooper on 08/15/2002",
"KY","Smith Generating Facility","54",,"Facility name change from J K Smith on 03/04/2002",
"AL","WestRock Coated Board","54802",,"Facility name change from Mead Coated Board - Mahrt Mill on 03/21/2003",
"AL","WestRock Coated Board","54802",,"Facility name change from MeadWestvaco Coated Board, Inc - Mahart  on 03/13/2006",
"MS","Watson Electric Generating Plant","2049",,"Facility name change from Jack Watson on 12/13/2001",
"MI","Michigan Hub Plant","4259",,"Facility name change from Endicott Generating on 02/14/2018",
"TX","New Gulf Power Facility","50137",,"Facility name change from Newgulf on 11/01/2006",
"PA","Colver Green Energy","10143",,"Facility name change from Colver Power Project on 09/01/2020",
"NY","Castleton Power, LLC","10190",,"Facility name change from Transcanada Power Castleton on 01/15/2002",
"NY","Castleton Power, LLC","10190",,"Facility name change from Castleton on 10/06/2005",
"IL","Morris Cogeneration, LLC","55216",,"Facility name change from Calpine Morris Power Plant on 12/19/2005",
"OK","Tenaska Kiamichi Generating Station","55501",,"Facility name change from Kiamichi Energy Facility on 08/12/2003",
"CO","Frank Knutson Station","55505",,"Facility name change from Brighton Generating Station on 05/20/2003",
"CA","CalPeak Power - Panoche","55508",,"Facility name change from Panoche No. 2 - Cal Peak Power on 03/04/2002",
"CA","CalPeak Power - Border","55510",,"Facility name change from Lonestar No. 4 - Cal Peak Power on 03/04/2002",
"CA","Cuyamaca Peak Energy","55512",,"Facility name change from El Cajon No. 6 - Cal Peak Power on 03/04/2002",
"CA","CalPeak Power - Enterprise","55513",,"Facility name change from Enterprise No. 7 - Cal Peak Power on 03/04/2002",
"TX","Forney Power Plant","55480",,"Facility name change from Forney Power Plant on 08/03/2005",
"MO","Dogwood Energy Facility","55178",,"Facility name change from MEP Pleasant Hill-Aries Power Proj on 02/11/2005",
"TX","Channelview Cogeneration Facility","55187",,"Facility name change from Channelview Cogeneration on 07/15/2002",
"TX","Odessa Ector Generating Station","55215",,"Facility name change from Permian Generating Station on 02/11/2002",
"CA","Yuba City Energy Center","10349",,"Facility name change from Greenleaf II Energy Center on 05/27/2003",
"KY","Marshall County","55232",,"Facility name change from Marshall County Generating Station on 02/11/2002",
"KY","Marshall County","55232",,"Facility name change from Duke Energy Marshall on 07/15/2002",
"KY","Marshall County","55232",,"Facility name change from Duke Energy Marshall LLC on 04/15/2003",
"KY","Marshall County","55232",,"Facility name change from Duke Energy Marshall County,  LLC on 10/25/2004",
"NY","Beaver Falls, LLC","10617",,"Facility name change from CH Resources - Beaver Falls on 07/27/2002",
"NY","Beaver Falls, LLC","10617",,"Facility name change from WPS Empire State, Inc-Beaver Falls on 10/10/2003",
"IL","Lee County Generating Station, LLC","55236",,"Facility name change from Lee County Generating Station on 12/13/2001",
"IL","Lee County Generating Station, LLC","55236",,"Facility name change from Duke Energy Lee, LLC on 02/11/2002",
"IL","Lee County Generating Station, LLC","55236",,"Facility name change from Duke Energy Lee on 03/13/2003",
"IL","Shelby County","55237",,"Facility name change from Shelby Energy Center on 07/15/2002",
"IL","Rockford Energy Center","55238",,"Facility name change from Indeck-Rockford Energy Center on 07/19/2002",
"IL","Rockford Energy Center","55238",,"Facility name change from Indeck Rockford Energy Center on 02/06/2003",
"NC","NCEMC Anson Plant","56249",,"Facility name change from Anson County Generation on 03/20/2006",
"NC","NCEMC Hamlet Plant","56292",,"Facility name change from Richmond County Generation Facility on 03/20/2006",
"NC","CPI USA North Carolina Southport","10378",,"Facility name change from Cogentrix-Southport on 08/30/2005",
"TX","Johnson County Generation Facility","54817",,"Facility name change from Cleburne Cogeneration Facility on 01/31/2006",
"IL","Rockford II Energy Center","55936",,"Facility name change from Indeck-Rockford II Energy Center on 02/06/2003",
"AZ","Gila River Power Station","55306",,"Facility name change from Panda Gila River on 09/04/2003",
"AZ","Gila River Power Station","55306",,"Facility name change from Panda Gila River, LP on 12/13/2001",
"AZ","Gila River Power Station","55306",,"Facility name change from Panda Gila River, LP on 04/25/2002",
"AL","E B Harris Generating Plant","7897",,"Facility name change from Autaugaville Cc on 12/17/2001",
"AL","E B Harris Generating Plant","7897",,"Facility name change from Autaugaville CC on 07/27/2002",
"ID","Evander Andrews Power Complex","7953",,"Facility name change from Mountain Home Generation Station on 05/02/2006",
"DE","Warren F. Sam Beasley Pwr Station","7962",,"Facility name change from Delaware Municipal Electric Corp on 07/15/2002",
"IL","Raccoon Creek Power Plant","55417",,"Facility name change from MEP Flora Power on 04/13/2006",
"VA","RockTenn West Point Mill","10017",,"Facility name change from St Laurent Paperboard on 08/27/2003",
"VA","RockTenn West Point Mill","10017",,"Facility name change from Stone Container Corp., West Point Mill on 02/10/2005",
"NC","Rockingham County Combustion Turbine","55116",,"Facility name change from Rockingham Power on 11/27/2006",
"ID","Bennett Mountain Power Project","55733",,"Facility name change from Mountain Home Energy Project on 04/12/2004",
"MI","Otsego Paper, Inc.","55799",,"Facility name change from Menasha Corp. on 10/25/2006",
"NC","WestRock Kraft Paper, LLC","50254",,"Facility name change from Roanoke Valley Energy Facility on 02/06/2003",
"NC","WestRock Kraft Paper, LLC","50254",,"Facility name change from International Paper (NC) on 02/21/2007",
"OH","Washington Power Company LLC","55397",,"Facility name change from Duke Energy Washington, LLC on 04/23/2003",
"MS","Hinds Energy Facility","55218",,"Facility name change from Duke Energy Hinds on 10/25/2004",
"MS","Hinds Energy Facility","55218",,"Facility name change from KGen Hinds, LLC on 10/25/2004",
"MS","Hinds Energy Facility","55218",,"Facility name change from Duke Energy Hinds, Llc on 12/13/2001",
"MS","Hinds Energy Facility","55218",,"Facility name change from Duke Energy Hinds, LLC on 02/11/2002",
"MD","Luke Paper Company","50282",,"Facility name change from Westvaco on 04/23/2002",
"MD","Luke Paper Company","50282",,"Facility name change from Meadwestvaco Luke Mill on 11/16/2005",
"NY","Bethpage Energy Center","50292",,"Facility name change from TBG Cogen on 10/31/2002",
"NY","Bethpage Energy Center","50292",,"Facility name change from CPN Bethpage 3rd Turbine, Inc. on 02/23/2005",
"NC","Edgecombe Genco, LLC","10384",,"Facility name change from Cogentrix-Rocky Mount on 03/21/2006",
"IN","Hoosier Energy Lawrence Co Station","7948",,"Facility name change from Hoosier Energy Bedford Station on 01/07/2003",
"VA","WestRock Virginia Corp Covington Ops","50900",,"Facility name change from Westvaco of Virginia, Inc Covington on 02/06/2003",
"TX","Calpine Hidalgo Energy Center","7762",,"Facility name change from Hidalgo Energy Facility on 06/22/2005",
"GA","MPC Generating","7764",,"Facility name change from Monroe Power Plant on 02/11/2002",
"GA","Dahlberg (Jackson County)","7765",,"Facility name change from Jackson County Combustion Turbine on 12/13/2001",
"AZ","New Harquahala Generating Company","55372",,"Facility name change from Harquahala Generating Project on 03/24/2005",
"NY","Caithness Long Island Energy Center","56234",,"Facility name change from Caithness Bellport Energy Center on 10/25/2005",
"CA","Donald Von Raesfeld","56026",,"Facility name change from Pico Power Plant on 02/03/2005",
"VA","Elizabeth River Combustion Turbine Sta","52087",,"Facility name change from Commonwealth Atlantic LP (Calp) on 12/02/2004",
"PA","Chambersburg Units 12 & 13","55654",,"Facility name change from Allegheny Energy Chambersburg on 12/13/2001",
"PA","AdvanSix Resins & Chemicals LLC","880007",,"Facility name change from Allied Signal (Frankford Plant) on 07/15/2002",
"NJ","Elmwood Power LLC","50852",,"Facility name change from Prime Energy on 01/18/2007",
"MN","Laskin Energy Center","1891",,"Facility name change from Syl Laskin on 08/15/2005",
"MN","Boswell Energy Center","1893",,"Facility name change from Clay Boswell on 08/15/2005",
"MN","Hibbard Energy Center","1897",,"Facility name change from M L Hibbard on 08/15/2005",
"WI","Appleton Property Ventures LLC","55558",,"Facility name change from Appleton Coated Locks Mill on 09/28/2006",
"TX","Oak Grove","6180",,"Facility name change from Twin Oak on 03/22/2007",
"OH","ArcelorMittal Cleveland LLC","10398",,"Facility name change from LTV Steel Company-Cleveland Works on 02/06/2003",
"MO","South Harper Peaking Facility","56151",,"Facility name change from Camp Branch Energy Center on 01/07/2005",
"TX","Ennis Power Company, LLC","55223",,"Facility name change from Wise County Power Company, Llc on 12/13/2001",
"TN","Valero Refining Company-Tennessee, LLC","55703",,"Facility name change from Williams Refining & Marketing, LLC on 04/23/2003",
"IN","IPL - Harding Street Station (EW Stout)","990",,"Facility name change from Elmer W Stout on 12/13/2001",
"IN","IPL - Eagle Valley Generating Station","991",,"Facility name change from H T Pritchard on 12/13/2001",
"IN","IPL - Eagle Valley Generating Station","991",,"Facility name change from Eagle Valley (H T Pritchard) on 01/04/2005",
"GA","Chattahoochee Energy Facility","7917",,"Facility name change from Heard Energy Facility on 03/07/2003",
